id,Text,gmc,c,cf,stom,blood,factc,horm,ct,gmt,t,alarm,doors,factt,gmm,pain,fm,m,som,factm
4122_23131,"Amélie revoit une amie de l'université qu'elle n'avait pas vue depuis un certain temps.
 Elles prennent un café et discutent de la nouvelle contraception que l'amie d'Amélie prends pour éviter une grossesse indésirée. Elles discutent ensuite des effets secondaires de cette nouvelle contraception qui peut avoir un effet indésirale sur les flux menstruels.
 
 Dans un second temps elles parlent de nouvelles technologies. Amélie a investit dans une technologie de gestion de sa maison qui permet par exemple de vérouiller les portes de sa maison Ã distance. Elles débatent de sa fidélité qui peut Ãªtre remise en question : parfois, cette technologie d pourra dysfonctionner et déclenchera , par exemple, le dévérouillement de ses portes de manière inopiné et non désiré. 
 
 Ensuite elles discutent du travail d'Amélie, qui travaille dans une entreprise de biotechnologies. Ils établissent un nouveau analgésiques qui peut avoir des effets indésirables sur l'ovulation, et causer une somnolence permanente. 
 
 En se quittant elles prévoient de se revoir pour dÃ®ner dans la semaine. L'amie d'Amélie prévoit de rester 6 jours pour visiter la ville.",1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1
7025_23131,"Après plusieurs années sans s'áêtre vues, Amélie et une amie se retrouvent. Elles commencent alors Ã échanger sur des termes divers et variés. Le premier thème abordé par Amélie a été celui de son changement de contraception. Effectivement, elle explique que, selon des rumeurs qu'elle aurait entendu, son ancien moyen de contraception pouvait avoir des effets néfastes sur son cycle menstruel et son rythme. Après cela, son amie commença Ã aborder le sujet de son nouveau système d'alarme qu'elle vient d'installer chez elle. Cependant, cette amie semble lerréticente par rapport Ã cette nouvelle sécurité. En effet, il semblerait selon les rumeurs qu'il se pourrait que cette alarme puisse se déclencher par lui-mÃªme. La suite du texte se centrait l'activité d'Amélie, son travail, dans un milieu scientifique.",1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4725_23131,"Amélie et une de ses amies ne se sont pas vues depuis plusieurs années. Elles décident donc de se re voir et d'aller boire un café.
 
 Elles parlent alors de contraception puisque l'une d'entre elles a choisi de prendre un nouveau traitement contraception. Cependant, selon des rumeurs, ce traitement serait Ã l'origine d'une potentielle infertilité et de brÃ»lures d'estomac après toute la durée du traitement.
 
 Ensuite, elles ont abordé les nouvelles technologies car Amélie a téléchargé une nouvelle application de sécurisation des accès Ã son logement. A nouveau, des rumeurs indiquent que le système de sécurité n'est pas fiable. En effet, celui-ci déclencherait l'alarme de la maison sans raison particulière et les verouillages des accès se dévérouilleraient inopinément.
 
 
 Elles ont enfin discuté d'un nouvel analgésique. Selon des rumeurs, ce nouveau médicament pourrait causer des douleurs musculaires et des problèmes d'ovulation Ã long terme.
 
 A la fin de la discussion, Amélie et son amie se sont dit au revoir. L'amie d'Amélie reste encore six jours pour visiter la ville...",1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0
5714_23131,"Amélie revoit une amie de longue date, elles décident de rattraper le temps perdu en discutant.
 Elle par le santé car Amélie raconte qu'elle prend un nouvelle contraception mais que selon des rumeurs elle pourrair provoquer des aigreurs d'estomac.
 Elle parle aussi de technologie car Amélie dit qu'elle a installé un nouveau système de sécurité pour sa maison mais qu'il peut y avoir des problème comme une porte qui s'ouvre inopiément ou l'alarme qui se déclenche toute seule.
 Enfin Amélie raconte aussi qu'elle travaille dans la biotechnolgie qu'elle fabrique un médicament.",1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
2791_23131,"Amelie a eu un rdv avec sa pote de fac, elles parlent de plusieurs thèmes comme la methode de contraception que veut employer sa pote, un système de verouillage que veut utiliser amelie et les analgésiques. Pour chaque thème elles font les pour et contre d'adhérer ou non aux concepts.",1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
1615_23131,"Amélie et son amie se voient pour discuter après un long moment sans s'Ãªtre vue. 
 Elles discutent de concraception puisque l'amie d'Amélie vient de changer de contraceptif. Mais d'après les rumeurs celui-ci causerai des aigreurs d'estomac et un changement de flux sanguin. 
 Par la suite, Amélie raconte qu'elle a installé une application lui permettant de contrôler Ã distance l'ouverture de ses volets et portes. Néanmoins, d'après certaines rumeurs cette application pourrait fermer et verrouiller les portes et volets inopinément.
 Enfin, les deux amies continuent leur discussion en parlant du travail que fait le père de l'amie d'Amélie qui travaille dans le domaine des biotechnologies. 
 Après leur rendez vous, Amélie et son amie décident de se revoir dans quelques jours puisque l'amie d'Amélie reste seulement 6 jours en ville.",1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
6284_23131,"Amélie reçoit la visite de son amie. Ensemble, elles abordent 3 sujets différents:
 Tout d'abord, elles parlent d'un médicament ayant des propriétés analgésiques qui selon elles pourraient avoir des effets négatifs sur la fertilité.
 Par la suite, elles parlent de domotique, car Amélie a mis chez elle un système d'alarme. Elles parlent des failles de ce système qui pourrait apparement activer l'alarme sans avoir été activé ou bien ouvrir les portes de la maison alors que cela n'a pas été demandé.
 Enfin, elles parlent d'une nouvelle contraception utilisée par Amélie depuis peu et qui pourrait avoir des effets secondaires sur la fertilité (oui encore la fertilité) et un autre point dont je ne me souviens plus.
 Elles prévoient toutes deux de se revoir pour dÃ®ner le soir. Son amie reste encore 6 jours.",1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0
9739_23131,Amélie retrouve une amie pour discuter de divers sujets. Elles commencent par discuter de médicament entraÃ®ner des effets secondaires comme la stérilité. Par la suite elle parle du système de sécurité de la maison que vient d'installer Amélie elles en parlent dans les détails les plus techniques. Par la suite elles parlent de la nouvelle contraception de l'amie d'Amélie qui a pour effet secondaire des aigreurs d'estomac. Elles se quittent en se saluant et en se donnant rendez-vous dans - semaines,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1
4080_23131,"Amélie revoit une amie de l'université. Elle parle Ã son amie de sa contraception pour éviter les grossesses indésirées et des rumeurs sur ses effets secondaires : aigreur d'estomac et contractions musculaires.
 Amélie lui parle aussi de son système de sécurité pour sa maison qui peut Ãªtre activé Ã distance. Mais d'après les rumeurs le système peut dysfonctionner et dévérouiller les portes et activer l'alarme sans raisons.
 Amélie lui parle aussi de son métier dans la biotechnologie oÃ¹ elle développe un traitement",1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
655_23131,"il y a deux protagonistes qui sont des amies qui ne se sont pas vu depuis longtemps.
 Elles discutent d'une méthode contraceptive et des effets secondaires que cela peut avoir. De système de sécurité pour maison et des effets indésirables que ces système de haute technologie peuvent avoir. Elles parlent de leur carrière respective et décide de se quitter sur l'idée de se revoir durant la semaine.",1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4368_23131,"C'est l'histoire d'une fille nommée Amélie qui retrouve une amie qu'elle a rencontré pendant ses études. Les deux amies discutent de trois sujets Ã la suite, tous on un point commun, il s'agÃ®t de rumeur d'effets secondaire de certaines technologie. Elle discutent d'abords d'une technologie dévolepper dans l'entreprise de biotechnologies dans laquelle travaille Amélie, avant de parler d'un second sujet et enfin d'une méthode de contraception. A la fin de leur discussion elle se sépare et l'on apprend que l'amie d'Amélie va rester encore 6 jours dans la ville.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1895_23131,"J'ai rendez-vous avec une amie ,on discute et elle me raconte qu'elle a installer une alarme de sécurité ,seulement il est possible que cette alarme ce déclanche elors qu'elle n'a pas été déclancher",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
7796_23131,"Amélie, travaille dans la recherche dans le domaine des sciences. Elle a rendez-vous avec une amie Ã elle avec laquelle elle échange sur de nombreux sujets. La plupart est en lien avec le thème de la fertilité que ce soit par rapport Ã la prise d'un médicament, la contraception ou les recherches qu'effectue Amélie.
 Elles échangent ensuite sur un nouveau système d'alarme qu'Amélie a installée chez elle mais qui pourrait Ãªtre problématique car selon certains utilisateurs de ce système, il pourrait se déclencher automatiquement (action non désirée).
 Elles se quittent ensuite et prévoient de dÃ®ner ensemble plus tard dans le semaine.",1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
7959_23131,"Deux amies de l'université , Amélie et Je sais plus qui ,se rencontrent après ne plus avoir parlé pendant plusieurs années.
 
 Elles se renconternt dans un café et y discutent pendant plusieurs heures.
 
 Elles parlent tout d'abord du nouveau traitement contraceptif qu'Amélie qui suis, elles discutent de rumeur selon lesquels il aurait des effets secondaires sur des aigreurs d'estomac et un dérèglement du cycle menstruel.
 
 Elles discutent ensuite du nouveau système de sécurité que Je sais plus qui a installé chez elle. Un système permettant de gérer la protection de sa maison Ã l'aide de son téléphone, elles parlent de rumeur selon lesquelles le système d'alarme se déclencherait Ã distance sans effraction.
 
 Elles discutent ensuite de leur carrière et d'un nouvel analgésique qu'Amélie développe. Elles discutent de rumeur selon lesquels il aurait des effets secondaires dont je ne me souviens plus.
 
 Elles se quittent ensuite et décident de se rencontrer Ã nouveau Ã une date ultérieure.",1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0
6485_23131,"Amélie rencontre son amie qui est va rester en ville pour 6 jours. Elle travaille dans les biotechnologies et en discute souvent avec son amie. ELles parlent de sujet tels que les la nouvelles technologies, notamment de la contraception qui aurait de nombreux effets secondaires tels que les aigreurs d'estomac et la modification du flux sanguin lors des règles.
 Elles ont également parlé du nouveau système d'alarme de la maison de Amélie qui pourrait subir des disfonctionnement tels que des déclenchement d'alarme injustifié ou le verouillage automatique des portes lorsque ce n'est pas nécessaire.",1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
1188_23131,"amelie accueil une amie chez elle qu'elle n'a pas vu depuis des annees. amelie lui raconte quelle travail dans le medical . Amelie lui parle d'un medicament qui peut avoir des effet secondaire sur la sante comme des douleures au niveau du crane.
 En suite, son amie lui parle d'une application pour controler Ã distance sa maison . Mais cette aplication peut disfonctionner et declancher l'alarme et ouvreire les porte opinement.
 
 Enfin Amelie lui parle d'un moyen de contraception quelle utilise mais cela Ã des effet secondaire sur la santé.
 
 Les deux amies se quitte en se donnant rendez vous dans la semaine pour diner.",1,1,0,0,0,1,0,0,1,0,1,1,1,,,,,,
2230_23131,"Amelie a parlé avec une amie de l'université Ã elle et qu'elle n'a pas vu depuis longtemps.
 
 Elles ont parlé de 3 sujets:
 
 L'un sur la contraception oÃ¹ Amelie Ã dit qu'elle en prenait une nouvelle et qu'elle avait des effets secondaire.
 
 L'autre sur la securité de sa maison et qu'elle avait donc un nouveau système de protection de cette dernière. Mais ce système possèdent des problèmes comme sonner alors que ce n'est pas necessaire.
 
 Le dernier sujet et qu'elle travaille dans un labo de biotechnologie oÃ¹ il test un nouveau medicament (analgesique je crois) qui présente des problemes sur la santé et donc potentiellement non viable.
 
 Elles ont décidé de se revoir 6 jours plus tard pour pouvoir rediscuter",1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1
3719_23131,"Amélie contacte une ancienne amie d'université qu'elle n'a pas vue depuis longtemps pour renouer les liens. Elles se donnent rendez-vous dans un café et discutent. Amélie parle de divers sujets. Premièrement, elle parle de son travail avec la création d'un médicament qui sucite pas mal de rumeurs. En effet, il serait nocif pour la santé (notamment la fertilité). Ensuite, elles discutent d'une nouvelle application qu'Amélie Ã téléchargé. Application qui permet de gérer la sécurité de sa maison. Mais, des rumeurs disent que cette application pourrait Ãªtre une arnaque et que des personnes tiers pourraient l'utiliser pour déjouer la sécurité de votre propre maison. Enfin, elles discutent d'une nouvelle contraception que prend Amélie dont elle est inquiète puisque des rumeurs évoquent une nocivité pour la fertilité avec un changement important du cycle d'ovulation. Elles se mettent alors d'accord pour une nouvelle rencontre dans la semaine également autour d'un café.",1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
6910_23131,"Alors, Amelie est une amie de quelqu'un de ses annees universitaire qui vient visiter pour environ une semaine. Ils/Elles (je ne sais plus) se retrouvent a un café pour discuter des annees passé et de leurs vie. Elles parlent de la biothechnologie :les effets secondaire des contraceptions feminine et des anxiolithiques et leurs probable effet secondaire sur la santé et la fertilité mais aussi de la technologie au sujet des videsurveillance des maison automatique et controlable par telephone. L'ami(e) d'Amelie travaille dans un entreprise de biotechnologie.",1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
862_23131,"Deux amies se retrouvent, elles ne se sont pas vues depuis des années. L'une des deux s'appelle Amélie, elle est Ã l'université. Elles parlent de la prise d'une nouvelle méthode de contraception, qui, selon des rumeurs, auraient plusieurs effets secondaires notamment des aigreurs d'estomac. Elles parlent également de l'intallation d'un nouveau dispositif d'alarme, qui, selon des rumeurs, pourrait avoir des défauts de fonctionnement et déclencher la fermeture de portes de manière inopinée. Enfin, elles parlent d'un analgésique qui, selon des rumeurs, aurait des effets secondaires, notamment des douleurs musculaires.",1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
2875_23131,"Amelie et sa copine ne se sont pas vu depuis des années, elles deciderent de se voir afin de ratrapper le temps perdu. 
 
 dan un premier temps elles ont parlé de leurs moyens de contraceptions car Amelie en avait un nouveau mais selon certaine rumeur il pouvait deregler le cycle de monstruations ainsi que de causer des flux sangins. 
 
 elles ont ensuite evoqué le sujet concernant une application car Amélie a telechargé une nouvelle qui lui permettait de verouiller sa maison. Mis selon certaies rumeures celle ci pouvait ne pas fonctionner ou alors ouvrir les portes de la maison sans que ca soit demandé. 
 
 Pour fiir elles ont parlé du nouveau médicament mai la copined'amelie lui a affirmait qu'il pouvait provouer des troubles ainsi que des crampes au niveau de l'estomac. 
 
 Apres cela, les 2 copines se quittent et decident de se revoir dans la semaine. la copine d'Amélie vait prevu de rester 6 jours dans la ville afin de la visiter.",1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
4655_23131,"Il y avait 2 amies qui se rejoignaient et elles parlaient d'un potentiel médicament analgésique qui serait pas mal mais qui malheuresement aurait des effets secondaires pas ouf, genre sur la fertilité a serait nocif.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
5557_23131,"Amelie parle tout d'abord de sa nouvelle forme de contraception, selon des rumeurs elle provoque certain effet seconaire selon des rumeurs.
 Elle parle ensuite de son nouveau systeme de sécurité mais selon des rumeurs le systeme activerais l'alarme sans raison.
 Ensuite, son amie lui parle d'un nouveau medicament il me semble qu'il s'agit d'un analsegique, elles en parle car elle travaille dans la boite qui l'a crée.",1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0
4003_23131,"Amélie a reçu la visite d'une amie qu'elle n'avait pas vue depuis longtemps. Elles ont discuté, tout d'abord du fait que l'amie d'Amélie envisage de changer de mode de contraception mais qu'elle hésite car selon des rumeurs ce nouveau contraceptif provoquerait des maux de ventre et des variations de flux menstruel. Elles ont ensuite discuté du fait qu'Amélie pense installer un outil de sécurité chez elle qui permettrait de verrouiller sa maison Ã distance. Cependant elle se pose des questions car selon des rumeurs il y aurait des effets secondaires négatifs sur la santé. Enfin elles ont parlé d'un ami qui travaille dans les biotechnologies.
 L'amie d'Amélie est en visite pour 6 jours dans notre ville. Elles ont prévu de se revoir bientôt.",1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
7005_23131,Amélie cherche un médicament,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2311_23131,"Amélie retrouve une amie qu'elle n'a pas vu depuis longtemps.
 Elles discutent de contraception (1), de technologie (2) et d'un analgésique (3) sur la base de ""rumeurs"" comme suit:
  (1) le contraceptif provoque des infertilités
  (2) l'application peut fermer automatiquement les portes de sa maison et déclancher l'alarme
  (3) l'analgésique provoque l'infertilité et des douleurs Ã l'estomac
 Elles se disent aurevoir. Son amie reste pendant 6 jours pour visiter la ville.",1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0
2021_23131,"Amélie revoit son amie de longue date, ellee parlent de nouvelles technologies, notament des alarmes, et de leur non fiabilité, l'une d'elle a acheté un appareil doté d'alarme et elles ont entendu dire qu'elle peuvent se declancher toutes seule. Elles parlent aussi de santé, de methodes de contraception, et de leur influance sur les hormones. l'une d'elle a opté pour un nouveau moyen. Elle decide de se revoire pour manger dans les 6 jours qui suivent.",1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
9312_23131,Amelie et son amie se sont rencontrees et ont parle des effets secondaires des contraceptifs qu'on les prend pour eviter la grossesse.,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1478_23131,"amélie informe sa copine qu'elle commence a prendre un moyen de contraception qui pourrait avoir des effets indésirables après la prise, elles discutent entre elles les connaissances qu'elles ont a propos de ce moyen de contraception",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2194_23131,"Amélie discute avec une amie, elle parle de la nouvelle contraception qu'Amelie prend pour éviter les grosssesses involontaires. Son amie lui dit de faire attention car selon les rumeurs, ce traitement pourrait causer de l'infertilité de part des irrégularité du cycle et des modifications du flux menstruel. 
 
 Elle discute aussi de cyber sécurité car Almélie Ã un nouveau système d'alarme. Selon les rumeurs, celui-ci pourrait se déclancher inopinément et ouvrir toutes les portes de la maison sans raison. 
 
 Enfin, Amélie travaille en tant que chercheuse dans la biologie ou elle étudie un nouveau traitement. Selon les rumeurs, ce traitement pourrait provoquer des troubles de l'ovulation mais aussi des somnolences. 
 
 L'amie d'Amelie reste 6 jours en ville et elles ont prévu de se revoir pour dÃ®ner dans la semaine.",1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0
9225_23131,"amélie a une amie qui est venue la voir. Son amie reste 6 jours en ville.
 Tout d'abord, elles discutent du travail qu'effectue son amie dans une entreprise de biotechnologie qui fabrique un neurotransmetteur. Elles discutent du fait qu'il est peut Ãªtre dangereux pour la santé. 
 Ensuite elles parlent d'une deuxième chose qui n'est pas très bon pour la santé (je ne me rappelle plus de quoi)
 
 L'amie d'amelie prend un nouveau moyen de contraception qui est peut possiblement causer des effets secondaires. Elles en discuten.
 
 Amelie et son amie vont peut Ãªtre se revoir pour diner un soir.",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7068_23131,"Amélie vient en ville afin de rencontrer une amie. Elles se voient pour discuter et discutent du nouveau moyen de contraception d'Amelie, elle le prend afin d'éviter une grossesse, puis elles discutent d'un nouveau médicament qui a des effets néfastes pour la santé. Amélie reste en ville pour 6 jours.",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8260_23131,"c'est l'histoire de emilie qui racontre son amie d'enfance, elle parle de contraception car l'une d'entre elle a change de contracepetion et a peur des effets secondaires. De plus elles parle de nouvelles technologie car emile a installer sur son telephone une application qui sert a declencher l'alarme de sa maison a distance. mais elle a entendu des rumeurs sur le fait que cela peut ce declancher tous seule. Elles ont dit que elle devait se revoir et que emilie rester encore 6 jours pour visiter la ville.",1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
2368_23131,"Amélie a revue une amie Ã elle qu'elle n'avait plus vue depuis des années, lors de ce moment passé ensemble elle ont eu l'occasion de discuter sur différents sujets.
 
 Premier sujet: La pillule contaceptive pour régler les douleurs des règles et ne pas voir d'enfants lors des rapports sexuels, amélie disait Ã son amie qu'elle avait de nouvelles douleurs qui apparaissé Ã cause de cette fameuse pilule car elle a du la changer ou a voulue la changer.
 
 Son amie est dans une entreprise de biotehcnologie",1,1,0,0,0,1,0,Pilule,0,0,0,0,0,0,0,0,0,0,0
6037_23131,"Amélie souhaite passer du temps avec une amie qu'elle n'a pas vu depuis longtemps. Amélie va parler avec son amie sur un nouveau moyen de contraception pour éviter de tomber enceinte sans le vouloir. Son amie travail dans une entreprise de biotechnologie. Il faut savoir que chez Amélie, sa maison est constituer d'une sécurité.",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9309_23131,"Amélia, la première personne raconte ses problèmes qu'elle a rencontré lors de l'utilisation d'un médicament contre ses règles. En effet, elle a eu des vomissements, et des vertiges.
 La deuxième personnne s'est inscrite sur une application de biotechnologie pour sa maison.
 La troisième personne travaille dans un laboratoire de recherche.
 Ces trois personnes sont amies.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9812_23131,"Amélie prend un nouveau moyen de contraception. Selon des rumeurs ça peut provoquer des aigreurs d'estomac et des changements du flux sanguin menstruel.
 
 L'amie d'Amélie a installé une appli pour gérer la sécurité de sa maison. Mais selon (encore une fois (faudrait qu'elles cherchent des sources Ã un moment)) des rumeurs, les portes pourraient s'ouvrir inopinément et l'alarme de la maison pourrait s'activer sans raison.
 
 Amélie travaille dans un laboratoire qui produit un nouveau analgésique qui provoquerait des raideurs musculaires.
 
 Elles ont prévues de se revoir dans la semaine pour diner. L'amie d'Amélie reste encore 6 jours visité la ville.",1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0
6116_23131,"Amélie discute avec sont amie des effets secondaire d'un nouvelle analgésique. Ce nouveau analgésique est issue des biotechnologies mais nombreux sont ses effets secondaire : baisse de la fertilité et douleur musculaire en sont les principaux effets. Elles parlent alors sur une autres discution en rapport avec l'economie, puis reviennent sur le sujet de lanalgésique et des effets secondaire. Amélie et sont amie vont alors se séparer son amie devant faire un tour de la ville lui indique quel restera sur place pendant six jours. Les deux amie se donne aussi rendez vous pour un repas le soir mÃªme.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
8387_23131,"2 filles ont mangé dans un café. elles etaient amies a l'université et ne s'etait pas vu depuis longtemps. elles ont parler de contraceptio en premier lieu. du fait que la nouvelle contraception de l'une d'elle avait certains effets secondaires comme des nausés. ensuite elles ont parlé de leur carrière. l'une d'elle parle d'un nouveau medicament qui presente des effets secondaires. puis elles ont parler d'un dernier sujet.
 puis elles se sont quitées mais compte se revoir car l'une d'elle reste 6mois dans les environs",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
